"Operator","Pics.Batch","Sample","ImageTitle","Status","CellLine","Day","Treatment","Volume","ESR","SurfaceArea","Flatness","Elongation","Sphericity","IntensityRHF","VolumeRHF","NbCc","VCcMean","VCcTotal","DistanceBorderToBorderMean","DistanceBarycenterToBorderMean","AspectRatio","Circularity","VoxelVolume","MinIntensityNuc","MaxIntensityNuc","AvgIntensityNuc","StdIntensityNuc"
"FM","1","72CS_63x_tile scan_z05","01 cropped FM_72CS_63x_tile scan_z05.czi - C=0.tif","HNRNPUdel","ASD","28","n/a","288.13","4.09732068908864","386.359999999967","1.6828066960225","1.56310459411227","0.162799422410265","0.0515528516417162","0.0248151875889355","16","0.446875","7.15","0.54814644753933","1.46039481163025","1.56934722511451","0.758715892571316","0.005","0","79","16.7548328879325","10.1482377462434"
"FM","1","72CS_63x_tile scan_z05","02 cropped FM_72CS_63x_tile scan_z05.czi - C=0.tif","HNRNPUdel","ASD","28","n/a","359.745","4.41199880089987","449.339999999966","1.63557589476582","1.28179296816418","0.161330568270165","0.0469788267905618","0.019499923556964","12","0.584583333333333","7.015","0.884842866659164","1.66337711016337","1.31359420489293","0.780420088349841","0.005","0","76","15.2626582718314","10.8351249034143"
"FM","1","72CS_63x_tile scan_z05","03 cropped FM_72CS_63x_tile scan_z05.czi - C=0.tif","HNRNPUdel","ASD","28","n/a","204.405","3.65427282720501","295.339999999991","1.16921280590109","1.01921719097379","0.183429250610076","0.0354281716857137","0.0208654387123603","7","0.609285714285714","4.265","0.171115521022252","0.565179654530117","1.12619535894655","0.792598282863925","0.005","1","125","18.1828967001786","9.35340530694163"
"FM","1","72CS_63x_tile scan_z05","04 cropped FM_72CS_63x_tile scan_z05.czi - C=0.tif","HNRNPUdel","ASD","28","n/a","298.71","4.14686964936199","390.69999999998","1.29475763505483","1.68873524137473","0.169208300490435","0.0623849171149427","0.0329918650195842","18","0.5475","9.855","0.353152371115155","0.910931163363986","1.70626296537292","0.731794510367299","0.005","1","102","26.3807371698303","15.603496536735"
"FM","1","72CS_63x_tile scan_z05","05 cropped FM_72CS_63x_tile scan_z05.czi - C=0.tif","HNRNPUdel","ASD","28","n/a","272.89","4.02376866271879","364.659999999988","1.38050754123962","1.12989633625194","0.173685368019757","0.0129703387501603","0.00580820110667302","4","0.39625","1.585","0.336191523075104","0.707678616046906","1.11895184822605","0.772083513964757","0.005","1","107","25.0022903001209","13.8749124785069"
"FM","1","72CS_63x_tile scan_z05","06 cropped FM_72CS_63x_tile scan_z05.czi - C=0.tif","HNRNPUdel","ASD","28","n/a","698.185","5.50335212638962","777.139999999742","1.99350442067332","1.25628330076418","0.117461518942818","0.0585768923103687","0.0220571911456133","34","0.452941176470588","15.4","0.788448166847229","1.47957269724678","1.2255964748701","0.732012431384688","0.005","0","86","13.4198887114447","10.7893327664866"
"FM","1","72CS_63x_tile scan_z05","07 cropped FM_72CS_63x_tile scan_z05.czi - C=0.tif","HNRNPUdel","ASD","28","n/a","316.42","4.22725492673668","436.239999999957","1.94332648060021","1.50788278026924","0.136396671344155","0.0546172329051392","0.0279217495733519","17","0.519705882352941","8.835","0.358747548916761","1.22120387974907","1.54824313578116","0.76219783752632","0.005","1","127","20.2094842298211","11.245696234314"
"FM","1","72CS_63x_tile scan_z05","08 cropped FM_72CS_63x_tile scan_z05.czi - C=0.tif","HNRNPUdel","ASD","28","n/a","487.98","4.8839491974826","573.519999999915","1.6997681346249","1.65642972785796","0.142761373193025","0.0487012045965747","0.0182486987171605","17","0.523823529411765","8.905","0.726176724714391","1.37719682244694","1.63050056285728","0.666780768235519","0.005","0","120","18.736208451166","13.3623264014425"
"FM","1","72CS_63x_tile scan_z05","09 cropped FM_72CS_63x_tile scan_z05.czi - C=0.tif","HNRNPUdel","ASD","28","n/a","385.64","4.5154165624119","482.099999999969","1.69024797510831","1.11517554501374","0.150108445464894","0.029544818600189","0.013108080074681","9","0.561666666666667","5.055","0.587105462286207","1.27867107921177","1.08160168013734","0.571348896944596","0.005","0","60","15.2444378176538","10.3642571043354"
"FM","1","72CS_63x_tile scan_z05","11 cropped FM_72CS_63x_tile scan_z05.czi - C=0.tif","HNRNPUdel","ASD","28","n/a","442.205","4.72619547276496","539.359999999928","1.91955006502251","1.31890888779996","0.140949475975829","0.0759398928690893","0.0313090082653973","23","0.601956521739131","13.845","0.66803180653116","1.46644053666488","1.30669098148431","0.754516016513343","0.005","0","86","14.9407401544533","11.1482447356925"
"FM","1","72CS_63x_tile scan_z05","12 cropped FM_72CS_63x_tile scan_z05.czi - C=0.tif","HNRNPUdel","ASD","28","n/a","352.885","4.38377440162928","451.459999999956","1.86335400788796","1.16806926337481","0.153059728391868","0.0615058164513579","0.0288054181957295","24","0.423541666666667","10.165","0.429176209867001","1.08386947512627","1.16254753930159","0.796945586696173","0.005","0","116","21.6013007070292","13.421251340303"
"FM","1","72CS_63x_tile scan_z05","13 cropped FM_72CS_63x_tile scan_z05.czi - C=0.tif","HNRNPUdel","ASD","28","n/a","395.805","4.55474662043637","484.219999999947","2.17950493761752","1.37054684449312","0.156058258282137","0.0243451492245777","0.0119503290761865","11","0.43","4.73","0.619686594876376","1.52261844548312","1.35518515458099","0.778779193713945","0.005","0","65","17.784995136494","10.8970216603669"
"FM","1","72CS_63x_tile scan_z05","14 cropped FM_72CS_63x_tile scan_z05.czi - C=0.tif","HNRNPUdel","ASD","28","n/a","423.76","4.65954793128728","498.539999999964","1.86007549459069","1.14196092474327","0.163905023824373","0.0515088515354188","0.0181234661128941","14","0.548571428571429","7.68","0.864444463593619","1.72999368735722","1.13268531903844","0.76544770691776","0.005","0","95","16.7878516141212","13.057904652028"
